line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
12179,Local,1764,La Rochelle,,Angleterre,Imports,Beuf Salé,,,134304,0,4197,barils,32,sources/Local/AD17_41_ETP_270_9427_La_Rochelle_Imports_1764.csv,AD17 41 ETP 270/9427,1,,,,,Demba,,,0,,,,,,,,
12180,Local,1764,La Rochelle,,Angleterre,Imports,beure,,,"155544,5",0,311089,livres,"0,5",sources/Local/AD17_41_ETP_270_9427_La_Rochelle_Imports_1764.csv,AD17 41 ETP 270/9427,1,,,,,Demba,,prix unitaire en centaine,0,,,,,,,,
12181,Local,1764,La Rochelle,,Angleterre,Imports,chandelle,,,"52,13",0,125,livres,"0,425",sources/Local/AD17_41_ETP_270_9427_La_Rochelle_Imports_1764.csv,AD17 41 ETP 270/9427,1,,,,,Demba,,,0,,,,,,,,
12182,Local,1764,La Rochelle,,Angleterre,Imports,Charbon de Terre,,,12990,0,433,tonneaux,30,sources/Local/AD17_41_ETP_270_9427_La_Rochelle_Imports_1764.csv,AD17 41 ETP 270/9427,1,,,,,Demba,,,0,,,,,,,,
12183,Local,1764,La Rochelle,,Angleterre,Imports,Charbon de Terre,,,25560,0,71,muids,360,sources/Local/AD17_41_ETP_270_9427_La_Rochelle_Imports_1764.csv,AD17 41 ETP 270/9427,1,,,,,Demba,,,0,,,,,,,,
12184,Local,1764,La Rochelle,,Angleterre,Imports,Charbon de Terre,,,"14692,5",0,3265,bailler,"4,5",sources/Local/AD17_41_ETP_270_9427_La_Rochelle_Imports_1764.csv,AD17 41 ETP 270/9427,1,,,,,Demba,,,0,,,,,,,,
12185,Local,1764,La Rochelle,,Angleterre,Imports,Cuirs; de beuf; en poil,,,42,0,6,nombre,7,sources/Local/AD17_41_ETP_270_9427_La_Rochelle_Imports_1764.csv,AD17 41 ETP 270/9427,1,,,,,Demba,,,0,,,,,,,,
12186,Local,1764,La Rochelle,,Angleterre,Imports,fromage,,,1743,0,4980,livres,"0,35",sources/Local/AD17_41_ETP_270_9427_La_Rochelle_Imports_1764.csv,AD17 41 ETP 270/9427,1,,,,,Demba,,,0,,,,,,,,
12187,Local,1764,La Rochelle,,Angleterre,Imports,Plomb en saumon,,,"117097,5",0,468390,livres,"0,25",sources/Local/AD17_41_ETP_270_9427_La_Rochelle_Imports_1764.csv,AD17 41 ETP 270/9427,1,,,,,Demba,,prix unitaire en centaine,0,,,,,,,,
12188,Local,1764,La Rochelle,,Angleterre,Imports,Suif,,,5844,0,14610,livres,"0,4",sources/Local/AD17_41_ETP_270_9427_La_Rochelle_Imports_1764.csv,AD17 41 ETP 270/9427,1,,,,,Demba,,prix unitaire en centaine,0,,,,,,,,
