source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Local,1774,La Rochelle,,Angleterre,Exports,Eau de vie,,,528480,0,,bariques,120,sources/Local/AD17_41_ETP_271_9496_La_Rochelle_Exports_1774.csv,AD17 41 ETP 271/9496,1,,,,,,Demba,,,0,,,,,,,,
Local,1774,La Rochelle,,Angleterre,Exports,Eau de vie,,,224.44,0,,veltes,4.4444444,sources/Local/AD17_41_ETP_271_9496_La_Rochelle_Exports_1774.csv,AD17 41 ETP 271/9496,1,,,,,,Demba,,,-.01,,,,,,,,
Local,1774,La Rochelle,,Angleterre,Exports,Graine de Lin,,,30262.5,0,,livres,.0751667,sources/Local/AD17_41_ETP_271_9496_La_Rochelle_Exports_1774.csv,AD17 41 ETP 271/9496,1,,,,,,Demba,,,-67.25,,,,,,,,
Local,1774,La Rochelle,,Angleterre,Exports,Huille de noix,,,620,0,,livres,.4,sources/Local/AD17_41_ETP_271_9496_La_Rochelle_Exports_1774.csv,AD17 41 ETP 271/9496,1,,,,,,Demba,,,0,,,,,,,,
Local,1774,La Rochelle,,Angleterre,Exports,Marchandises Meslée,,,130,0,,,,sources/Local/AD17_41_ETP_271_9496_La_Rochelle_Exports_1774.csv,AD17 41 ETP 271/9496,1,,,,,,Demba,,,130,,,,,,,,
Local,1774,La Rochelle,,Angleterre,Exports,Noix,,,1029,0,,tonneaux,84,sources/Local/AD17_41_ETP_271_9496_La_Rochelle_Exports_1774.csv,AD17 41 ETP 271/9496,1,,,,,,Demba,,,0,,,,,,,,
Local,1774,La Rochelle,,Angleterre,Exports,Ozier,,,625,0,,poignées,.25,sources/Local/AD17_41_ETP_271_9496_La_Rochelle_Exports_1774.csv,AD17 41 ETP 271/9496,1,,,,,,Demba,,,0,,,,,,,,
Local,1774,La Rochelle,,Angleterre,Exports,Papier Blanc,,,7280,0,,rames,8,sources/Local/AD17_41_ETP_271_9496_La_Rochelle_Exports_1774.csv,AD17 41 ETP 271/9496,1,,,,,,Demba,,,0,,,,,,,,
Local,1774,La Rochelle,,Angleterre,Exports,Peaux de veaux apréter,,,134988,0,,douzaines,42,sources/Local/AD17_41_ETP_271_9496_La_Rochelle_Exports_1774.csv,AD17 41 ETP 271/9496,1,,,,,,Demba,,,0,,,,,,,,
Local,1774,La Rochelle,,Angleterre,Exports,Sel,,,38040,0,,muids,30,sources/Local/AD17_41_ETP_271_9496_La_Rochelle_Exports_1774.csv,AD17 41 ETP 271/9496,1,,,,,,Demba,,,0,,,,,,,,
