line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1735,Marseille,,Hollande,Imports,argent vif,,,550,,110,livres,5,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1735.csv,Archives de la CCI de Marseille - I 29,1,,,,,Ahmed,,,0,,,,,,,,
2,Local,1735,Marseille,,Hollande,Imports,acier,,,3434,,10100,livres,0.34,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1735.csv,Archives de la CCI de Marseille - I 29,1,,,,,Ahmed,,en pourcentage,0,,,,,,,,
3,Local,1735,Marseille,,Hollande,Imports,azur commun,,,1965,,3275,livres,0.6,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1735.csv,Archives de la CCI de Marseille - I 29,1,,,,,Ahmed,,,0,,,,,,,,
4,Local,1735,Marseille,,Hollande,Imports,azur fin,,,20,,25,livres,0.8,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1735.csv,Archives de la CCI de Marseille - I 29,1,,,,,Ahmed,,en quintal,0,,,,,,,,
5,Local,1735,Marseille,,Hollande,Imports,amidon,,,54,,300,livres,0.18,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1735.csv,Archives de la CCI de Marseille - I 29,1,,,,,Ahmed,,en quintal,0,,,,,,,,
6,Local,1735,Marseille,,Hollande,Imports,arcenic,,,290,,1450,livres,0.2,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1735.csv,Archives de la CCI de Marseille - I 29,1,,,,,Ahmed,,,0,,,,,,,,
7,Local,1735,Marseille,,Hollande,Imports,biere,,,800,,10,barriques,80,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1735.csv,Archives de la CCI de Marseille - I 29,1,,,,,Ahmed,,,0,,,,,,,,
8,Local,1735,Marseille,,Hollande,Imports,biere,,,87,,290,bouteilles,0.3,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1735.csv,Archives de la CCI de Marseille - I 29,1,,,,,Ahmed,,,0,,,,,,,,
9,Local,1735,Marseille,,Hollande,Imports,baleine coupée,,,8648,,2162,livres,4,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1735.csv,Archives de la CCI de Marseille - I 29,1,,,,,Ahmed,,,0,,,,,,,,
10,Local,1735,Marseille,,Hollande,Imports,bois du Brezil,,,1447,,14475,livres,0.1,sources/Local/Archives_de_la_CCI_de_Marseille_I_29_Marseille_Imports_1735.csv,Archives de la CCI de Marseille - I 29,1,,,,,Ahmed,,en quintal,-0.5,,,,,,,,
