line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1753,Nantes,,Angleterre,Imports,Bœuf salé,,,,,4528,barils,30,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
2,Local,1753,Nantes,,Angleterre,Imports,Bœuf salé,,,,,1495,tierçons,45,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
3,Local,1753,Nantes,,Angleterre,Imports,Bœuf salé,,,,,271258,livres,0.3,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
4,Local,1753,Nantes,,Angleterre,Imports,Beure,,,,,680,frequins,24,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
5,Local,1753,Nantes,,Angleterre,Imports,Beure,,,,,113343,livres,0.3,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
6,Local,1753,Nantes,,Angleterre,Imports,Bled froment,,,,,835,Tonneaux,180,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
7,Local,1753,Nantes,,Angleterre,Imports,Chandelle,,,,,50304,livres,0.4,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
8,Local,1753,Nantes,,Angleterre,Imports,Chandelle,,,,,50,caisses,10,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
9,Local,1753,Nantes,,Angleterre,Imports,Charbon de terre,,,,,2204,Barique,10,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
10,Local,1753,Nantes,,Angleterre,Imports,Crin,,,,,3300,livres,0.6,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
