source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
National toutes directions partenaires manquants,1789,Lille,Armentière,etatsdelempereur,Imports,Bestiaux ; bœufs,,,4200,0,15,en nombre,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,47,1,,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Bailleul,etatsdelempereur,Imports,Arbres ; en ?,,,135,0,54000,en nombre,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,48,1,,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Baisieux,etatsdelempereur,Imports,Arbres ; en plants,,,585,0,2340,en nombre,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,54,1,585,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Douay,etatsdelempereur,Imports,Bestiaux ; moutons,,,227490,0,7582,en nombre,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,25,1,,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Dunkerque,angleterre,Imports,Acier,,,1200,0,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,2,1,,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Dunkerque,hollande,Imports,Acier,,,14105,0,40300,livres,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,2,1,,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Dunkerque,les4villesansatiques,Imports,Acier,,,420,0,1200,livres,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,2,1,,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Dunkerque-Basseville,sude,Imports,Acier ; en barres,,,21284,0,59127,livres,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,27,1,21284,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Graveline,hollande,Imports,Agrès ; de navire ; en voiles,,,200,0,,,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,57,1,200,,,,Jérémy Hervelin,,,,,,,,,,,
National toutes directions partenaires manquants,1789,Lille,Lille,etatsdelempereur,Imports,Amandes ; cassées,,,1388,0,2776,livres,,sources/National toutes directions partenaires manquants/AN_F12_1667_Lille_Imports_1789.csv,AN F12 1667,41,1,1388,,,,Jérémy Hervelin,,,,,,,,,,,
