orthographic,source_bdc,nbr_occurences_orthographic,simplification,nbr_occurences_simplification,conv_orthographic_to_simplificat,remarque_unit
,1,164564,,164565,,
????,1,239,????,307,1,
???? an,1,1,????,307,1,
???? aunes,1,4,????,307,1,
???? aunes ou livres,1,1,????,307,1,
???? b,1,1,????,307,1,
???? bann,1,2,????,307,1,
???? bar,1,1,????,307,1,
???? boileaux,1,1,????,307,1,
???? boir x,1,2,????,307,1,
???? boisses,1,1,????,307,1,
???? boucoud,1,1,????,307,1,
???? boue(c)s,1,2,????,307,1,
???? boul,1,1,????,307,1,
???? bout s,1,9,????,307,1,
???? bouteilles,1,1,????,307,1,
???? caps,1,1,????,307,1,
???? cha,1,1,????,307,1,
???? charres,1,1,????,307,1,
???? de la bour.,1,2,????,307,1,
???? grosses,1,1,????,307,1,
???? lc dit peut être fausse valeur,1,1,????,307,1,
???? livres,1,2,????,307,1,
???? livres x,1,0,????,307,1,
???? lotes,1,1,????,307,1,
???? m,1,2,????,307,1,
???? malls,1,1,????,307,1,
???? maq s,1,1,????,307,1,
???? mo,1,1,????,307,1,
???? mot,1,2,????,307,1,
???? mottes,1,1,????,307,1,
???? p,1,2,????,307,1,
???? paquets,1,1,????,307,1,
???? pièces,1,1,????,307,1,
???? po/ans,1,1,????,307,1,
???? quar,1,1,????,307,1,
???? rien,1,7,????,307,1,
???? scdes,1,1,????,307,1,
???? teinpettes,1,1,????,307,1,
???? tonneaux,1,1,????,307,1,
???? tonnes,1,1,????,307,1,
???? tours,1,1,????,307,1,
???? w,1,1,????,307,1,
???? wades,1,1,????,307,1,
???? wagues,1,1,????,307,1,
???? weltes,1,1,????,307,1,
?ans,1,1,?ans,1,1,
#,1,2,#,2,1,
15 flacons,1,1,flacons,179,15,
450 feuilles,1,1,feuilles,221,450,
6 flacons,1,2,flacons,179,6,
600 feuilles,1,1,feuilles,221,600,
9 flacons,1,2,flacons,179,9,
à charnière d'or,1,1,pièces,24228,1,"vérification dans la source, il est indiqué « à charnière d'or »"
à répétition,1,1,pièces,24228,1,
aimes,1,8,aimes,8,1,Doursther : Tierce=nom donné par les allemands à Aime: de 130 à 166 litres -> 148 litres
alvrames,1,2,alvrames,2,1,unité difficilement lisible dans la source
ancre,1,106,ancre,107,1,
andouilles,1,1,andouilles,1,1,
anée,1,14,anée pour les liquides,14,1,p43 doursther : voir anée -> P28 -> prendre mesure de Lyon
arrobes,1,10,arrobe,10,1,Doursther : l'arrobe représente 25 livres (page 40)
arts,1,1,arts,1,1,
assortis,1,1,assortis,1,1,
atlas,1,2,atlas,2,1,
au grand compte,1,1,au grand compte,1,1,
aune,1,1,aune,1,1,Wikipedia
aunes,1,10291,aunes de paris,10291,1,
aunes carrées,1,1,aunes carrées,1,1,
avirons,1,4,pièces,24228,1,
baille de 250 livres,1,1,livres,256672,250,
bailles,1,41,bailles,42,1,
baines,1,2,baines,2,1,
baïonnettes,1,1,pièces,24228,1,
bales d'haricots,1,1,balles,559,1,
balle,1,557,balles,559,1,
balle et 900 livres,1,1,balles,559,1,
ballon,1,23,ballon,23,1,
ballot petit,1,1,ballot petit,1,1,
ballots,1,213,ballot,213,1,
bannes,1,29,banne,29,1,
baquet,1,1,baquet,1,1,
barattes,1,1,barattes,1,1,
barbançons,1,2,barbançons,2,,
barbots,1,1,barbots,1,1,
barbues,1,5,barbues,5,1,
bards,1,1,bard,1,1,
barillets,1,56,barillets,56,1,
barils,1,7213,barils,7221,1,
barils ???,1,2,barils ???,2,1,
barils de 100 livres,1,2,livres,256672,100,
barils de 20 pots,1,1,pots,1528,20,
barils de 3,1,1,,164565,,
barils de 450 feuilles,1,42,feuilles,221,450,
barils de 500 livres,1,1,livres,256672,500,
barils de 600 feuilles,1,4,feuilles,221,600,
barils de 64 pots,1,2,pots,1528,64,
barils de grand modèle 330,1,1,livres,256672,330,
barils double,1,8,barils double,8,1,
barils en saumure,1,1,barils en saumure,1,1,
barils feuiller,1,1,barils feuiller,1,1,
barils grand modèle,1,1,barils grand modèle,1,1,
barils gros,1,3,barils gros,3,1,
barils ordinaires,1,1,barils ordinaires,1,1,
barils petit modèle,1,1,barils petit modèle,1,1,
barils petits,1,52,petits barils,52,1,
barils petits de 300,1,1,barils,7221,1,
barils simple,1,3,barils,7221,1,
barques,1,1,barriques,5174,1,nécessite le contenu et le lieu d'émission
barraux,1,1,barraux,1,1,
barreaux,1,17,barral vin de Montpellier,17,1,p57 doursther
