simplification,nbr_occurences_simpl,grouping,note,nbr_occurences_grouping
,577,,,577
?,12,????,,226
???,196,????,,226
[vide],2578,[vide],,2578
Afrique,46,Outre-mers,,84635
Afrique occidentale,34,Outre-mers,,84635
Alexandrette,37,Levant et Barbarie,,25454
Alger,46,Levant et Barbarie,,25454
Aligre de Marans ou Marennes,1,France,,5686
Allemagne,20070,Allemagne,,23817
Allemagne et Lorraine,125,Allemagne,,23817
Allemagne et Pologne,1208,Allemagne,,23817
"Allemagne, Lorraine et Pays de Liège",1553,Allemagne,,23817
Alsace,359,France,,5686
Alsace et les Trois Évêchés,3,France,,5686
Alsace et Lorraine,4,France,,5686
"Alsace, Bayonne, Dunkerque, Lorient et Petites Îles",1,France,,5686
Amérique et Inde,1,Outre-mers,,84635
"Amérique, colonies françaises et Inde",1,Outre-mers,,84635
"Amérique, Inde et Turquie",2,Divers,,2350
Amériques,50,Outre-mers,,84635
Amiens,2,France,,5686
Angleterre,26331,Angleterre,,26448
Angleterre et Cologne,1,Angleterre,,26448
Angleterre et flotte anglaise,49,Angleterre,,26448
Angleterre et Irlande,1,Angleterre,,26448
Antilles et Colonies Françaises,105,Outre-mers,,84635
Archipel,5,Levant et Barbarie,,25454
Asie,79,Outre-mers,,84635
Autriche,2035,Flandre et autres états de l'Empereur,,25657
Barbarie,470,Levant et Barbarie,,25454
Barbarie dans l'Océan,8,Levant et Barbarie,,25454
Barbarie dans l'Océan et Îles françaises d'Amérique,59,Levant et Barbarie,,25454
Barbarie et Levant,34,Levant et Barbarie,,25454
"Barbarie, Empire Ottoman et Levant",123,Levant et Barbarie,,25454
Bayonne,379,France,,5686
Bayonne et ?,1,France,,5686
Bayonne et Dunkerque,3,France,,5686
Bayonne et Lorient,3,France,,5686
Bayonne et Marseille,3,France,,5686
Bayonne et Petites Îles,4,France,,5686
"Bayonne, Dunkerque et Marseille",11,France,,5686
"Bayonne, Dunkerque, Lorient et Petites Îles",3,France,,5686
"Bayonne, Lorient et Petites Îles",1,France,,5686
Belgique,67,Flandre et autres états de l'Empereur,,25657
Besançon,2,France,,5686
Bilbao,10,Espagne,,63883
Bilbao et Cadix,3,Espagne,,63883
Brême,9,Nord,,67079
"Brême, Lubeck, Norvège et villes hanséatiques",1,Nord,,67079
Brésil,30,Outre-mers,,84635
Bruges,16,Flandre et autres états de l'Empereur,,25657
Cadix,6,Espagne,,63883
Canada,38,Outre-mers,,84635
Candie,5,Levant et Barbarie,,25454
Cannée et Candie,3,Levant et Barbarie,,25454
Cayenne et Guyane,1065,Outre-mers,,84635
Cayenne et Île Bourbon,1,Outre-mers,,84635
Chili,15,Outre-mers,,84635
Chine,42,Outre-mers,,84635
Chypre,17,Levant et Barbarie,,25454
Clermontois,71,France,,5686
Colonies anglaises,132,Outre-mers,,84635
Colonies danoises,90,Outre-mers,,84635
Colonies des États-Unis d'Amérique,143,Outre-mers,,84635
Colonies espagnoles,153,Outre-mers,,84635
Colonies françaises,2198,Outre-mers,,84635
Colonies françaises au-delà du Cap,4,Outre-mers,,84635
Colonies françaises d'Amérique,358,Outre-mers,,84635
