direction,direction_simpl,nbr_occurence
,,232712
1,,1
10,,1
11,,1
12,,1
13,,1
14,,1
15,,1
2,,1
3,,1
4,,1
5,,1
6,,1
7,,1
8,,1
9,,1
Amiens,Amiens,907
Auch,France,206
Aunis et de la Saintonge,La Rochelle,16
Basse Normandie,Caen,22
Bayonne,Bayonne,19585
Béarn,France,22
Besancon,Besancon,1167
"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",France,218
"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",France,470
Bordeaux,Bordeaux,29666
Bourgogne,Bourgogne,605
"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",France,125
Bretagne,Rennes,58
Caen,Caen,1562
Chalons,Châlons,1059
Châlons,Châlons,1269
Charleville,Charleville,1487
Colonies Françaises de l'Amérique,Colonies Françaises de l'Amérique,744
comNantes,Nantes,2
Dunkerque,Dunkerque,288
Flandre,Flandre,2054
Flandre Françoise,Flandre,115
Grenoble,Grenoble,1349
"Grenoble, Marseille et Lyon","Grenoble, Lyon et Marseille",307
Guyenne,Bordeaux,49
Haute Normandie,Rouen,74
Imports,,1
La Rochelle,La Rochelle,31639
Langres,Langres,629
Languedoc,Montpellier,13
Le Havre,Le Havre,1637
Lille,Flandre,3058
Lille - port de Dunkerque - commerce privilégié,Dunkerque,352
Lorient,Lorient,535
Lyon,Lyon,1699
"Lyon, Grenoble et Valence",Lyon,407
Marseille,Marseille,94021
Montpellier,Montpellier,3872
Nantes,Nantes,29820
Narbonne,Narbonne,874
Paris,France,27
Passeport du roy,France,54
Passeports,France,113
Picardie,Amiens,52
Provence,Marseille,33
Rennes,Rennes,22999
Rouen,Rouen,18994
Roussillon,France,1
Saint Malo,Saint-Malo,217
Saint-Malo,Saint-Malo,747
Saint-Quentin,Saint-Quentin,689
Soissons,France,23
Toulon,Toulon,1100
Valenciennes,Valenciennes,947
