direction,direction_simpl,nbr_occurence
Amiens,Amiens,907
Auch,France,206
Aunis et de la Saintonge,La Rochelle,16
Basse Normandie,Caen,22
Bayonne,Bayonne,19589
Béarn,France,22
Besancon,Besancon,1167
"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",France,218
"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",France,470
Bordeaux,Bordeaux,17068
Bourgogne,Bourgogne,605
"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",France,125
Bretagne,Rennes,58
Caen,Caen,1562
Chalons,Châlons,1059
Châlons,Châlons,1269
Charleville,Charleville,1489
Colonies Françaises de l'Amérique,Colonies Françaises de l'Amérique,744
Dunkerque,Dunkerque,288
Flandre,Flandre,2054
Flandre Françoise,Flandre,115
Grenoble,Grenoble,1160
Guyenne,Bordeaux,49
Haute Normandie,Rouen,74
La Rochelle,La Rochelle,30801
Langres,Langres,629
Languedoc,Montpellier,13
Le Havre,Le Havre,1649
Lille,Flandre,3056
Lille - port de Dunkerque - commerce privilégié,Dunkerque,352
Lorient,Lorient,534
Lyon,Lyon,1699
"Lyon, Grenoble et Valence",Lyon,407
Marseille,Marseille,62849
Montpellier,Montpellier,3871
Nantes,Nantes,21941
Narbonne,Narbonne,874
Paris,France,27
Passeport du roy,France,54
Passeports,France,113
Picardie,Amiens,52
Provence,Marseille,33
Rennes,Rennes,5416
Rouen,Rouen,18992
Roussillon,France,1
Saint Malo,Saint-Malo,217
Saint-Malo,Saint-Malo,748
Saint-Quentin,Saint-Quentin,689
Soissons,France,23
Toulon,Toulon,1100
Valenciennes,Valenciennes,947
