simplification,nbr_occurences_simpl,obsolete,coffee,nbr_occurences_hamburg,nbr_occurences_coffee
,1086,non,Not coffee,442379,826996
???,3236,non,Not coffee,442379,826996
??? blanc,2,non,Not coffee,442379,826996
??? brun,2,non,Not coffee,442379,826996
??? d'Anjou et de Touraine,0,non,Not coffee,442379,826996
??? d'argent,1,non,Not coffee,442379,826996
??? d'une valeur moindre de deux mille francs chacun,413,non,Not coffee,442379,826996
??? de boutard,0,non,Not coffee,442379,826996
??? de fer,2,non,Not coffee,442379,826996
??? de morue,1,non,Not coffee,442379,826996
??? de nacre de perle,1,non,Not coffee,442379,826996
??? des ci-devant provinces d'Alsace,0,non,Not coffee,442379,826996
??? des ci-devant provinces de Bourgogne,1,non,Not coffee,442379,826996
??? des ci-devant provinces de Provence,2,non,Not coffee,442379,826996
??? des ci-devant provinces du Languedoc,1,non,Not coffee,442379,826996
??? diverses,4,non,Not coffee,442379,826996
??? fer,1,non,Not coffee,442379,826996
??? forts de fer,1,non,Not coffee,442379,826996
??? gras,1,non,Not coffee,442379,826996
??? particulièrement en chevaux,0,non,Not coffee,442379,826996
??? pieds,1,non,Not coffee,442379,826996
??? pruneaux,1,non,Not coffee,442379,826996
??? raisin sec,1,non,,,42923
??? raisin secs,1,oui,Not coffee,442379,826996
???sse,1,non,Not coffee,442379,826996
?ufs,0,non,Not coffee,442379,826996
[non traité],67,oui,,,42923
[vide],6248,non,,,42923
à l'aventure,46,non,,,42923
à son lest,4,oui,,,42923
à vide,647,non,,,42923
abassis,6,non,Not coffee,442379,826996
abats,2,non,Not coffee,442379,826996
abattis de morue,1,non,Not coffee,442379,826996
abricots,1,non,,,42923
abricots confits,1,non,Not coffee,442379,826996
absinthe,19,non,Not coffee,442379,826996
acacia,5,non,Not coffee,442379,826996
acacia germanica,1,non,Not coffee,442379,826996
acacia vera,1,non,Not coffee,442379,826996
acajou,6,non,Not coffee,442379,826996
acétate d'étain,0,oui,Not coffee,442379,826996
acétate de fer,0,oui,Not coffee,442379,826996
acétates d'étain,1,non,Not coffee,442379,826996
acétates de fer,3,non,Not coffee,9794,826996
acétates de plomb,304,non,Not coffee,3536,826996
acétates de plomb et autres,7,non,,,42923
acétates de plomb sel de Saturne,2,oui,Not coffee,3536,826996
acétates de potasse et de soude,2,oui,Not coffee,708,826996
acétates de potasse et de soudes,2,non,,,42923
acétates de sel d'étain,1,non,Not coffee,442379,826996
achia,7,non,Not coffee,442379,826996
acide arsénieux,8,non,Not coffee,442379,826996
acide benzoïque,1,non,Not coffee,442379,826996
acide benzoïque et phosphorique,2,non,Not coffee,442379,826996
acide borique,3,non,Not coffee,442379,826996
acide borique et benzoïque,2,non,Not coffee,442379,826996
acide citrique,2,non,Not coffee,442379,826996
acide citrique et muriatique et phosphorique,2,non,Not coffee,442379,826996
acide citrique et oxalique et tartrique,2,non,Not coffee,442379,826996
acide de potasse crème de tartre,5,non,Not coffee,1470,826996
acide de potasse crème de tartre et tartrate,0,oui,Not coffee,1470,826996
acide de potasse lie de vin desséché et liquide,4,non,Not coffee,708,826996
acide de potasse lie de vin desséché et liquide et tartrate,0,oui,Not coffee,708,826996
acide de potasse lie de vin desséchée,3,non,Not coffee,708,826996
acide de potasse lie de vin desséchée et tartrate,0,oui,Not coffee,708,826996
acide de potasse lie de vin liquide,2,non,Not coffee,708,826996
acide de potasse lie de vin liquide et tartrate,0,oui,Not coffee,708,826996
acide de potasse tartre brut impur,2,non,Not coffee,1470,826996
acide de potasse tartre brut impur et tartrate,0,oui,Not coffee,708,826996
acide muriatique,1,non,Not coffee,442379,826996
acide muriatique et nitrique et phosphorique,3,non,Not coffee,442379,826996
acide muriatique et nitro-muriatique,2,non,Not coffee,442379,826996
