customs_office,nbr_occurence,customs_office_grouping,nbr_occurence_grouping
,528617,,529910
Agde,203,Agde,203
Aligre,92,Aligre,92
Amiens et Soissons,151,,529910
Arcey,483,Arcey,483
Arles,47,Arles,47
Arles en Roussillon,32,Arles en Roussillon,32
Armentière,48,Armentière,48
Aubenton,23,Aubenton,23
Avranches,8,Avranches,8
Bailleul,70,Bailleul,70
Baisieux,247,Baisieux,247
Barcelonette,45,Barcelonette,45
Bayonne,239,Bayonne,938
Bayonne et Arzac,43,,529910
Beaucaire,163,Beaucaire,248
Beauvoir-sur-Mer,30,Beauvoir-sur-Mer,30
Blaye,37,Blaye,37
"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",218,Divers,690
"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Redon, Saint-Servan, Port-Louis",470,Divers,690
Bordeaux,4478,Bordeaux,4478
Boulogne sur Mer,75,Boulogne sur Mer,75
Bourbonne,89,Bourbonne,89
Bourg-d'Oisans,15,Bourg-d'Oisans,15
Bourges et Moulins,82,,529910
Brest,1,Brest,133
Brest et dépendances,132,Brest,133
Briançon,94,Briançon,94
Bureaux de terre frontières,5,Bureaux de terre frontières,6
Caen,12,Caen,12
Caën par Mer,67,,529910
Caën par Terre,87,,529910
Calais,63,Calais,63
Cannes,425,Cannes,425
Cette,814,Cette,814
Chaalons et Troyes,98,,529910
Chalons sur Marne,12,Chalons-sur-Marne,12
Charente,83,Tonnay-Charente,83
Charleville,67,Charleville,67
Chaumont,45,Chaumont,45
Cherbourg,39,Cherbourg,39
Collioure,79,Collioure,79
Condé,61,Condé,61
Convoy de Bordeaux,73,,529910
Croisic,29,Croisic,29
Dieppe,127,Dieppe,127
Dijon et Chalons-sur_saone,83,,529910
Divers Ports,2,Divers,690
Douay,62,Douay,62
Dunkerque,1079,Dunkerque,2252
Dunkerque-Basseville,560,Dunkerque,2252
Entreveaux,65,Entreveaux,65
Envoyé sur les frontières,1,Bureaux de terre frontières,6
Fécamp,1,Fécamp,1
Foire de Beaucaire,85,Beaucaire,248
Givet,307,Givet,307
Granville,69,Granville,69
Graveline,100,Graveline,100
Grenoble,351,Grenoble,351
Guillestre,3,Guillestre,3
Honfleur,103,Honfleur,103
Joinville,42,Joinville,42
Jougne,51,Jougne,51
Jussey,60,Jussey,60
La Ciotat,7,La Ciotat,7
La Rochelle,731,La Rochelle,731
Lambesc,88,Lambesc,88
Langres,130,Langres,130
"Languedoc, Provence et Roussillon",102,,529910
Le Havre,2707,Le Havre,2707
Le Légué et dépendances,59,Le Légué,59
Les Sables d'Olonne,36,Les Sables d'Olonne,36
Libourne (indépendant),30,Libourne,30
Lille,718,Lille,718
Longeray,455,Longeray,455
Lorient,1,Lorient,370
Lorient (Commerce particulier),2,Lorient,370
Lorient (Compagnie),3,Lorient,370
"Lyon, Valence et Bresse",102,,529910
Marennes,56,Marennes,56
Marseille,4315,Marseille,5876
Marseille - Domaine d'Occident,1359,Marseille,5876
Marseille - Poids et Casse,202,Marseille,5876
"Marseille, Poids et Casse",1,,529910
Maubeuge,203,Maubeuge,203
Mayne et Anjou,89,,529910
Monthermé,22,Monthermé,22
Montlouis,79,Montlouis,79
Morez,233,Morez,233
Morlaix,165,Morlaix,165
Mouzon,106,Mouzon,106
Nantes,3221,Nantes,3221
Narbonne,71,Narbonne,71
Oloron,102,Oloron,102
Paris,46,,529910
Penne,71,Penne,71
Perpignan,117,Perpignan,117
Poitou,107,,529910
Pont Esprit,5,Pont Esprit,5
Pont-de-Beauvoisin,697,Pont-de-Beauvoisin,697
Pontarlier,300,Pontarlier,300
Port franc de Bayonne et Saint Jean de Luz,135,Port franc de Bayonne et Saint Jean de Luz,135
Port franc de Dunkerque,352,Dunkerque,2252
Port franc de Lorient,179,Lorient,370
Prades,12,Prades,12
Quimper,46,Quimper,46
Rethelois,83,,529910
Rochefort,134,Rochefort,134
Rocroy,81,Rocroy,81
Ronchamps,40,Ronchamps,40
Rouen,1455,Rouen,1455
Rouen et Honfleur,5,Rouen et Honfleur,5
Saint Amant,55,Saint-Amant,55
Saint Béat,66,Saint-Béat,66
Saint Dizier,500,Saint-Dizier,500
Saint Girons,53,Saint-Girons,53
Saint Malo,2,Saint-Malo,673
Saint Servan,1,Saint-Servan,8
Saint-Esprit de Bayonne,699,Bayonne,938
Saint-Jean-Pied-de-Port,55,Saint-Jean-Pied-de-Port,55
Saint-Malo,671,Saint-Malo,673
Saint-Malo et Saint-Servan,1,Saint-Malo et Saint-Servan,1
Saint-Martin-de-Ré,111,Saint-Martin-de-Ré,111
Saint-Raphaël,87,Saint-Raphaël,87
Saint-Servan,7,Saint-Servan,8
Saint-Tropez,94,Saint-Tropez,94
Saint-Valery-sur-Somme,40,Saint-Valery-sur-Somme,40
Sainte Menehoult,503,Sainte Menehoult,503
Sedan,689,Sedan,689
Septemes,174,Septemes,174
Seyssel,136,Seyssel,136
Steenfort,76,Steenfort,76
Subordonné de Lorient,98,Lorient,370
Subordonnés de Dunkerque,261,Dunkerque,2252
Tarascon,75,Tarascon,75
Tarbes,12,Tarbes,12
Teste de Buch,1,Teste-de-Buch,1
Tonne-Charente,76,,529910
Torcy,108,Torcy,108
Toulon,383,Toulon,383
Turcoing,144,Turcoing,144
Valenciennes,321,Valenciennes,321
Vervins,3,,529910
Vervins intérieur,13,Vervins intérieur,13
Ville de Lorient,87,Lorient,370
Ville neuve les avignons,30,Villeneuve lez Avignon,30
