quantity_unit_ortho,source_bdc,quantity_unit_ajustees,u_conv,q_conv,remarque_unit,incertitude_unit,source_hambourg,missing,needs_more_details,nbr_bdc_quantity_unit_ortho,nbr_bdc_quantity_unit_ajustees
,1,,,,,,,,,20,718
????,1,????,,,,1,0,,0,4,51
???? an,1,????,,,,1,0,,0,1,51
???? aunes,1,????,,,,1,0,,0,2,51
???? aunes ou livres,1,????,,,,1,0,,0,1,51
???? b,1,????,,,,1,0,,0,1,51
???? bann,1,????,,,,1,0,,0,1,51
???? bar,1,????,,,,1,0,,0,1,51
???? boileaux,1,????,,,,1,0,,0,1,51
???? boir x,1,????,,,,1,0,,0,1,51
???? boisses,1,????,,,,1,0,,0,1,51
???? boucoud,1,????,,,,1,0,,0,1,51
???? boue(c)s,1,????,,,,1,0,,0,1,51
???? boul,1,????,,,,1,0,,0,1,51
???? bout s,1,????,,,,1,0,,0,1,51
???? bouteilles,1,????,,,,1,0,,0,1,51
???? caps,1,????,,,,1,0,,0,1,51
???? cha,1,????,,,,1,0,,0,1,51
???? charres,1,????,,,,1,0,,0,1,51
???? cou,1,????,,,,1,0,,0,1,51
???? de la bour.,1,????,,,,1,0,,0,1,51
???? grosses,1,????,,,,1,0,,0,1,51
???? lc dit peut être fausse valeur,1,????,,,,1,0,,0,1,51
???? livres,1,????,,,,1,0,,0,1,51
???? livres x,1,????,,,,1,0,,0,1,51
???? lotes,1,????,,,,1,0,,0,1,51
???? m,1,????,,,,1,0,,0,1,51
???? malls,1,????,,,,1,0,,0,1,51
???? maq s,1,????,,,,1,0,,0,1,51
???? mo,1,????,,,,1,0,,0,1,51
???? mot,1,????,,,,1,0,,0,1,51
???? mottes,1,????,,,,1,0,,0,1,51
???? p,1,????,,,,1,0,,0,1,51
???? paquets,1,????,,,,1,0,,0,1,51
???? pièces,1,????,,,,1,0,,0,1,51
???? po/ans,1,????,,,,1,0,,0,1,51
???? quar,1,????,,,,1,0,,0,1,51
???? rien,1,????,,,,1,0,,0,1,51
???? scdes,1,????,,,,1,0,,0,1,51
???? teinpettes,1,????,,,,1,0,,0,1,51
???? tonnage,1,????,,,,1,0,,0,1,51
???? tonneaux,1,????,,,,1,0,,0,1,51
???? tonnes,1,????,,,,1,0,,0,1,51
???? tours,1,????,,,,1,0,,0,1,51
???? w,1,????,,,,1,0,,0,1,51
???? wades,1,????,,,,1,0,,0,1,51
???? wagues,1,????,,,,1,0,,0,1,51
???? weltes,1,????,,,,1,0,,0,1,51
?ans,1,,,,,,,,,1,718
#,1,,,,,,,,,1,718
# valeur,0,,,,,,,,,1,718
450 feuilles,1,450 feuilles,feuilles,450,,,,,,1,1
600 feuilles,1,600 feuilles,feuilles,600,,,,,,1,1
à charnière d'or,1,pièces,pièces,1,"vérification dans la source, il est indiqué « à charnière d'or »",,0,1,0,1,127
à répétition,1,pièces,pièces,1,,,0,,0,1,127
aimes,1,aimes,kg,148,Doursther : Tierce=nom donné par les allemands à Aime: de 130 à 166 litres -> 148 litres,,0,,0,4,4
alvrames,1,,,,unité difficilement lisible dans la source,,,,,1,718
ancre,1,ancre,kg,37,p27 doursther : en usage en Allemagne et en hollande formant le quart de l'aime,,0,1,0,4,4
andouilles,1,,,,,,,,,1,718
anée,1,anée pour les liquides,kg,81.959999,p43 doursther : voir anée -> P28 -> prendre mesure de Lyon,,,,,3,3
arrobes,1,arrobe,kg,12.23749975,Doursther : l'arrobe représente 25 livres (page 40),,,,,4,4
arts,1,,,,,,,,,1,718
atlas,1,atlas,pièces,1,,,,,,1,1
aune,1,aunes de paris,cm,118.84,Wikipedia,,,,,1,10
aunes,1,aunes de paris,cm,118.84,Wikipedia,,0,,0,9,10
aunes carrées,1,,,,,,,,,1,718
avirons,1,pièces,pièces,1,,,,,,2,127
baille du poids,1,bailles,litres,14.625,,,,,,1,6
bailles,1,bailles,litres,14.625,p44 doursther numéro du dictionnaire,,0,,0,4,6
baines,1,,,,,,,,,2,718
baïonnettes,1,pièces,pièces,1,,,0,,0,1,127
bales d'haricots,1,balles,contenant,1,,,,,,1,9
balle,1,balles,contenant,1,p56 doursther,,,,,7,9
balle et 900 livres,1,balles,contenant,1,,,,,,1,9
ballon,1,ballon,contenant,1,,,,,,7,7
ballot petit,1,,,,,,,,,1,718
ballots,1,ballot,contenant,1,,,,,,11,11
bannes,1,banne,contenant,1,,,,,,4,4
baquet,1,baquet,contenant,1,,,,,,1,1
barattes,1,,,,,,,,,1,718
barbançons,1,pièces,pièces,1,,,0,,0,2,127
barbots,1,,,,,,,,,1,718
barbues,1,,,,,,,,,3,718
bards,1,bard,contenant,1,,,0,1,0,1,1
baril de 3,1,,,,nécessite le contenu et le lieu d'émission,,,,1,1,718
baril gros,1,,,,,,,,,1,718
baril petit,1,,,,,,,,,1,718
barillets,1,,,,nécessite le contenu et le lieu d'émission,,,,1,4,718
barils,1,,,,nécessite le contenu et le lieu d'émission,,,,1,19,718
barils de 100 livres,1,barils,kg,48.949999,,,,,,2,11
barils de 450 feuilles,1,barils,feuilles,450,,,,,,6,11
barils de 600 feuilles,1,barils,feuilles,600,,,,,,1,11
barils de 64 pots,1,,,,,,,,1,1,718
barils de grand modèle 330,1,barils,kg,161.5349967,,,,,1,1,11
barils double,1,,,,,,,,1,4,718
barils en saumure,1,,,,,,,,1,1,718
barils feuiller,1,,,,,,,,1,1,718
barils grand modèle,1,,,,,,,,,1,718
barils gros,1,,,,,,,,,1,718
barils ordinaires,1,,,,,,,,1,1,718
barils petit modèle,1,,,,,,,,,1,718
barils petits,1,,,,,,,,1,11,718
barils petits de 300,1,barils,kg,146.849997,,,,,1,1,11
barils simple,1,,,,,,,,1,2,718
