source,orthographic,source_bdc,nbr_occurences_source,nbr_occurences_orthographic
,,1,166039,166111
?,????,1,60,240
??,????,1,12,240
???,????,1,31,240
??? pièces,pièces,1,9,26330
????,????,1,137,240
???? an,???? an,1,1,1
???? Aunes,???? aunes,1,1,4
???? aunes,???? aunes,1,3,4
???? aunes ou livres,???? aunes ou livres,1,1,1
???? B,???? b,1,1,1
???? bann,???? bann,1,2,2
???? Bar,???? bar,1,1,1
???? boileaux,???? boileaux,1,1,1
???? boir X,???? boir x,1,2,2
???? boisses,???? boisses,1,1,1
???? boucoud,???? boucoud,1,1,1
???? boue(c)s,???? boue(c)s,1,2,2
???? boul,???? boul,1,1,1
???? bout s,???? bout s,1,9,9
???? bouteilles,???? bouteilles,1,1,1
???? caps,???? caps,1,1,1
???? cha,???? cha,1,1,1
???? charres,???? charres,1,1,1
???? de la bour.,???? de la bour.,1,2,2
???? grosses,???? grosses,1,1,1
???? LC dit peut être fausse valeur,???? lc dit peut être fausse valeur,1,1,1
???? livres,???? livres,1,2,2
???? lotes,???? lotes,1,1,1
???? m,???? m,1,2,2
???? malls,???? malls,1,1,1
???? maq s,???? maq s,1,1,1
???? mo,???? mo,1,1,1
???? mot,???? mot,1,2,2
???? mottes,???? mottes,1,1,1
???? p,???? p,1,2,2
???? paquets,???? paquets,1,1,1
???? pièces,???? pièces,1,1,1
???? po/ans,???? po/ans,1,1,1
???? quar,???? quar,1,1,1
???? Rien,???? rien,1,7,7
???? scdes,???? scdes,1,1,1
???? teinpettes,???? teinpettes,1,1,1
???? tonneaux,???? tonneaux,1,1,1
???? tonnes,???? tonnes,1,1,1
???? tours,???? tours,1,1,1
???? W,???? w,1,1,1
???? wades,???? wades,1,1,1
???? wagues,???? wagues,1,1,1
???? weltes,???? weltes,1,1,1
?ans,?ans,1,1,1
[vide],,1,2,166111
#,#,1,2,2
450 Feuilles,barils de 450 feuilles,1,1,43
6 flacons,6 flacons,1,1,1
600 Feuilles,barils de 600 feuilles,1,1,5
9 flacons,9 flacons,1,1,1
A. 1/2,À demi,1,1,1
aimes,aimes,1,3,8
alvrames,alvrames,1,2,2
Ancre,ancre,1,19,107
ancre,ancre,1,2,107
Ancres,ancre,1,41,107
ancres,ancre,1,45,107
andouilles,andouilles,1,1,1
années,anée,1,1,15
Arobe,arrobes,1,2,10
Arobes,arrobes,1,5,10
Aroves,arrobes,1,2,10
Arrobes,arrobes,1,1,10
arts,arts,1,1,1
asnée,anée,1,1,15
asnées,anée,1,12,15
asnes,anée,1,1,15
assortis,assortis,1,1,1
au nombre,en nombre,1,1,19525
aulne,aunes,1,5,10691
Aulnes,aunes,1,61,10691
aulnes,aunes,1,292,10691
aumes,aunes,1,18,10691
Aums,aunes,1,19,10691
Aune,aunes,1,366,10691
aune,aunes,1,220,10691
AUNES,aunes,1,21,10691
AUnes,aunes,1,1,10691
Aunes,aunes,1,2924,10691
aunes,aunes,1,6715,10691
aunes carrées,aunes carrées,1,1,1
Auns,aunes,1,48,10691
autunce,aunes,1,1,10691
Ayme,aimes,1,1,8
aymes,aimes,1,3,8
aynes,aimes,1,1,8
bahnes,bannes,1,1,30
baille du Poids de 250 livres chacun,barils de 250 livres,1,1,1
bailler,bailles,1,14,41
Bailles,bailles,1,12,41
bailles,bailles,1,14,41
baillet,bailles,1,1,41
Baines,baines,1,1,2
bairque,barriques,1,1,5486
Baisse,,1,1,166111
Bales,balle,1,2,570
bales,balle,1,2,570
balets,ballots,1,1,229
Balle,balle,1,7,570
balle,balle,1,11,570
