line number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1755,Local,1738,Nantes,,Angleterre,Exports,bazin des indes,,,2310,,60,pieces,"38,5",Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
1756,Local,1738,Nantes,,Angleterre,Exports,caffé des isles,,,9852,,17913,Livre ,"0,55",Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,,"-0,150000000001455",,,,,,,,,
1757,Local,1738,Nantes,,Angleterre,Exports,chataigne,,,"34,8",,58,Boisseaux,"0,6",Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,erreur de calcul sur la valeur notée 63,0,,,,,,,,,
1758,Local,1738,Nantes,,Angleterre,Exports,confitures,,,7,,15,Boisseaux,"0,5",Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,,"-0,5",,,,,,,,,
1759,Local,1738,Nantes,,Angleterre,Exports,chocolas,,,229,,130,livres,"1,75",Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,,"1,5",,,,,,,,,
1760,Local,1738,Nantes,,Angleterre,Exports,chapeaux a negres,,,150,,50,livres,3,Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
1761,Local,1738,Nantes,,Angleterre,Exports,cartes a jouer,,,5,,50,livres,,Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,,5,,,,,,,,,
1762,Local,1738,Nantes,,Angleterre,Exports,darins,,,1400,,20,piece,70,Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
1763,Local,1738,Nantes,,Angleterre,Exports,eau de vie,,,213980,,"3292,75",bariques,,Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,erreur de calcul de la valeur notée 213 080,213980,,,,"3292,75",barique,"3,25",,,
1764,Local,1738,Nantes,,Angleterre,Exports,fayance,,,36,,10,douzaine,"3,75",Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,,"-1,5",,,,,,,,,
1765,Local,1738,Nantes,,Angleterre,Exports,forets,,,1,,2,livres,"0,5",Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
1766,Local,1738,Nantes,,Angleterre,Exports,gourgouran,,,90,,1,piece,90,Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
1767,Local,1738,Nantes,,Angleterre,Exports,huile de morüe,,,20,,108,livres,,Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,,20,,,,,,,,,
1768,Local,1738,Nantes,,Angleterre,Exports,indigo,,,16100,,4600,livres,"3,5",Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
1769,Local,1738,Nantes,,Angleterre,Exports,Merrain ganivelles,,,942,,"14,5",milliers,65,Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,,"-0,5",,,,,,,,,
1770,Local,1738,Nantes,,Angleterre,Exports,pruneaux communs,,,70,,750,livres,"0,12",Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,,-20,,,,,,,,,
1771,Local,1738,Nantes,,Angleterre,Exports,Plumes à lit,,,110,,70,livres,"0,8",Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,,54,,,,,,,,,
1772,Local,1738,Nantes,,Angleterre,Exports,Papiers à écrire,,,4410,,9800,livres,"0,45",Nantes -- 1738 --  Exports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
