line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Out,1757,Rennes,,d'Angleterre,Imports,boeuf salé,,,,,1695,barils,36,sources/Out/AD44_C716_Rennes_Imports_1757_bis.csv,AD44 C716,11,,,,,Cyril CANET,,,,,,,,,,,
2,Out,1757,Rennes,,d'Angleterre,Imports,boeuf salé,,,,,378,tiercons,50,sources/Out/AD44_C716_Rennes_Imports_1757_bis.csv,AD44 C716,11,,,,,Cyril CANET,,,,,,,,,,,
3,Out,1757,Rennes,,d'Angleterre,Imports,beure,,,,,93030,livres,"0,35",sources/Out/AD44_C716_Rennes_Imports_1757_bis.csv,AD44 C716,11,,,,,Cyril CANET,,,,,,,,,,,
4,Out,1757,Rennes,,d'Angleterre,Imports,crin,,,,,1719,livres,"0,6",sources/Out/AD44_C716_Rennes_Imports_1757_bis.csv,AD44 C716,11,,,,,Cyril CANET,,,,,,,,,,,
5,Out,1757,Rennes,,d'Angleterre,Imports,cuirs de boeuf en poil,,,,,1257,en nombre,6,sources/Out/AD44_C716_Rennes_Imports_1757_bis.csv,AD44 C716,11,,,,,Cyril CANET,,,,,,,,,,,
6,Out,1757,Rennes,,d'Angleterre,Imports,huille de poisson,,,,,392,livres,"0,25",sources/Out/AD44_C716_Rennes_Imports_1757_bis.csv,AD44 C716,11,,,,,Cyril CANET,,,,,,,,,,,
7,Out,1757,Rennes,,d'Angleterre,Imports,laine,,,,,4235,livres,"1,25",sources/Out/AD44_C716_Rennes_Imports_1757_bis.csv,AD44 C716,11,,,,,Cyril CANET,,,,,,,,,,,
8,Out,1757,Rennes,,d'Angleterre,Imports,lard,,,,,50,barils,35,sources/Out/AD44_C716_Rennes_Imports_1757_bis.csv,AD44 C716,11,,,,,Cyril CANET,,,,,,,,,,,
9,Out,1757,Rennes,,d'Angleterre,Imports,saumon salé,,,,,75,tiercons,35,sources/Out/AD44_C716_Rennes_Imports_1757_bis.csv,AD44 C716,11,,,,,Cyril CANET,,,,,,,,,,,
10,Out,1757,Rennes,,d'Angleterre,Imports,soude,,,,,50000,livres,"0,25",sources/Out/AD44_C716_Rennes_Imports_1757_bis.csv,AD44 C716,11,,,,,Cyril CANET,,,,,,,,,,,
