marchandises	marchandises_normalisees_inter	marchandises_normalisees	product_prix	dutchtranslation	englishproduct	unit	sitc1digit	sitc18thc	alternativenames
									
 Couvertures ; de B....	Couvertures ; de Béarn	Couvertures ; de Béarn							
//////Betes de somme, principalement en mules et mulets	Bêtes de somme ; mules et mulets	Bêtes de somme ; mules et mulets							
//////Betes,principalement en mules et mulets	Bêtes de somme ; mules et mulets	Bêtes de somme ; mules et mulets							
//////Passementerie	Passementerie	Passementerie							
///Articles réunis///D'une valeur moindre de 2000 fr chacun	Divers ; d'une valeur moindre de 2000 francs chacun	Divers ; d'une valeur moindre de 2000 francs chacun							
///Articles réunis///D'une valeur moindre de 2000 francs chacun	Divers ; d'une valeur moindre de 2000 francs chacun	Divers ; d'une valeur moindre de 2000 francs chacun							
///Betes de somme///Anes	Bêtes de somme ; ânes	Bêtes de somme ; ânes							
///Bêtes de Somme///Anes	Bêtes de somme ; ânes	Bêtes de somme ; ânes							
///Betes de somme///Chevaux	Bêtes de somme ; chevaux	Bêtes de somme ; chevaux							
///Bêtes de Somme///Chevaux	Bêtes de somme ; chevaux	Bêtes de somme ; chevaux							
///Betes de somme///Cheveaux	Bêtes de somme ; chevaux	Bêtes de somme ; chevaux							
///Bêtes de Somme///Mules, mulets et chevaux	Bêtes de somme ; mules, mulets et chevaux	Bêtes de somme ; mules, mulets et chevaux							
///Betes de somme///Mulets	Bêtes de somme ; mulets	Bêtes de somme ; mulets							
///Bêtes de Somme///Mulets	Bêtes de somme ; mulets	Bêtes de somme ; mulets							
///Drogues diverses///Drogues diverses réunies	Drogues ; Drogues réunies ; Diverses	Drogues ; Drogues réunies ; Diverses							
///Drogues diverses///Drogues réunies	Drogues ; Drogues réunies ; Diverses	Drogues ; Drogues réunies ; Diverses							
///Drogues Diverses///Drogues réunies	Drogues ; Drogues réunies ; Diverses	Drogues ; Drogues réunies ; Diverses							
///Drogues diverses///Gommes diverses	Drogues ; Gommes ; Diverses	Drogues ; Gommes ; Diverses							
///Drogues Diverses///Gommes diverses	Drogues ; Gommes ; Diverses	Drogues ; Gommes ; Diverses							
///Drogues diverses///Huile et essence de térébenthine	Drogues ; Huile et essence de Térébenthine ; Diverses	Drogue ; Huile et essence de Térébenthine							
///Drogues diverses///Huile et essence de Térébenthine	Drogues ; Huile et essence de Térébenthine ; Diverses	Drogue ; Huile et essence de Térébenthine							
///Drogues diverses///Sels chimiques	Drogues ; Chimiques ; Sel divers	Drogues ; Chimiques ; Sel divers							
///Drogues Diverses///Sels chimiques	Drogues ; Chimiques ; Sel divers	Drogues ; Chimiques ; Sel divers							
///Drogues médicinales///Drogues médicinales réunies	Drogues ; Médicinales ; Diverses	Drogues ; Médicinales ; Diverses							
///Drogues Médicinales///Drogues médicinales réunies	Drogues ; Médicinales ; Réunies	Drogues ; Médicinales ; Réunies							
///Drogues médicinales///Drogues réunies	Drogues ; Médicinales ; Diverses	Drogues ; Médicinales ; Diverses							
///Drogues Médicinales///Drogues réunies	Drogues ; Médicinales ; Réunies	Drogues ; Médicinales ; Réunies							
