source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
National partenaires manquants,1752,,,Suède,Imports,Acier,,,47704.3,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",99,,232502,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Alun,,,17561.3,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",96,,249601,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Amadou,,,2018.8,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",96,,11119,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Amidon,,,2145,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",97,,196000,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Ancres ; de fer,,,3664,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",97,,70911,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Anspects,,,63.3,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",98,,588,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Avirons,,,216,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",99,,17467,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Bled ; Seigle,,,106542,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",104,,24041999,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Bled ; froment,,,66720,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",104,,24041999,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Bois ; merrain ; de sapin,,,827.7,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",106,,2266155,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Bois ; merrain ; à bariques,,,8540,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",106,,2266155,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Bois ; merrain ; à fonds,,,1137.5,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",106,,2266155,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Bourdillons,,,1620,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",108,,358910,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Bray ; gras,,,68994,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",110,,174806,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Canons ; de fer,,,10265,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",113,,45220,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Chanvre ; crü,,,253290,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",116,,2326562,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Cire ; jaune,,,5810,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",120,,3297693,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Clous ; de fer,,,6053.1,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",121,,248723,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Cuivre ; en monnoye,,,18281,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",128,,1948331,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Cuivre ; en planches,,,39889.5,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",128,,1948331,,,,Annick Davis,,,,,,,,,,,
National partenaires manquants,1752,,,Suède,Imports,Cuivre ; en rozette,,,36625,0,,,,sources/National partenaires manquants/BM_Rouen_Montbret_155-1_partner_Suede_Imports_1752.csv,"BM Rouen, Fonds Montbret, 155-1",128,,1948331,,,,Annick Davis,,,,,,,,,,,
