pays,pays_corriges,pays_regroupes,source_bdc,nbr_bdc_pays,nbr_bdc_pays_corriges,nbr_bdc_pays_regroupes
,?,?,1,1635,2834,4139
**,?,?,1,1,2834,4139
***,?,?,1,1,2834,4139
?,?,?,1,18,2834,4139
??,?,?,1,1,2834,4139
???,?,?,1,1,2834,4139
Alemagne Pologne,Allemagne-Pologne,Allemagne et Pologne (par terre),1,1,637,21780
Allemagne,Allemagne,Allemagne et Pologne (par terre),1,12750,19600,21780
Allemagne Pologne,Allemagne-Pologne,Allemagne et Pologne (par terre),1,5,637,21780
Allemagne et Lorraine,Allemagne-Lorraine,Allemagne et Pologne (par terre),1,3,88,21780
Allemagne et Pologne,Allemagne-Pologne,Allemagne et Pologne (par terre),1,162,637,21780
"Allemagne, Lorraine et Païs de Liege",Allemagne-Lorraine-Pays de Liège,Allemagne et Pologne (par terre),1,407,1135,21780
"Allemagne, Lorraine et le Païs",Allemagne-Lorraine-Pays de Liège,Allemagne et Pologne (par terre),1,728,1135,21780
Allemagne-Pologne,Allemagne-Pologne,Allemagne et Pologne (par terre),1,411,637,21780
Allemange,Allemagne,Allemagne et Pologne (par terre),1,1,19600,21780
Alllemagne,Allemagne,Allemagne et Pologne (par terre),1,2,19600,21780
Allmagne-Pologne,Allemagne-Pologne,Allemagne et Pologne (par terre),1,22,637,21780
Amiens,Amiens,France,1,2,2,1246
Amérique,États-Unis d'Amérique,États-Unis d'Amérique,1,192,4934,4941
Amériques,États-Unis d'Amérique,États-Unis d'Amérique,1,29,4934,4941
Angleterr,Angleterre,Angleterre,1,1,14666,14666
Angleterre,Angleterre,Angleterre,1,11181,14666,14666
Angleterre en vertu de licences,Angleterre,Angleterre,1,101,14666,14666
Angleterre et ses colonies,Angleterre,Angleterre,1,398,14666,14666
Angleterre et ses colonies de l'Inde,Angleterre,Angleterre,1,832,14666,14666
Angleterre par bâtimens licenciés ou autre autorisation spéciale,Angleterre,Angleterre,1,55,14666,14666
"Angleterre, en vertu de licences",Angleterre,Angleterre,1,343,14666,14666
Angletterre,Angleterre,Angleterre,1,7,14666,14666
Anlgeterre,Angleterre,Angleterre,1,2,14666,14666
Barbarie,Barbarie,Levant,1,271,274,10986
Cayenne et Guyane,Cayenne-Guyane,Colonies,1,186,186,27503
