source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_unit,filepath,source,sheet,line_number,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,difference_value_unit_price,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
Objet Général,1768,,,Espagne,Exports,Acier,,,10632,0,,,,sources/Objet Général/IIHS-122B_Exports_1768.csv,IIHS-122B,2,1,26608,,,,Pascale Gouttenegre,,,,,,,,,,,
Objet Général,1768,,,Hollande,Exports,Acier,,,1410,0,,,,sources/Objet Général/IIHS-122B_Exports_1768.csv,IIHS-122B,2,2,26608,,,,Pascale Gouttenegre,,,,,,,,,,,
Objet Général,1768,,,Isles,Exports,Acier,,,5808,0,,,,sources/Objet Général/IIHS-122B_Exports_1768.csv,IIHS-122B,2,3,26608,,,,Pascale Gouttenegre,,,,,,,,,,,
Objet Général,1768,,,Levant,Exports,Acier,,,5902,0,,,,sources/Objet Général/IIHS-122B_Exports_1768.csv,IIHS-122B,2,4,26608,,,,Pascale Gouttenegre,,,,,,,,,,,
Objet Général,1768,,,Suisse,Exports,Acier,,,2856,0,,,,sources/Objet Général/IIHS-122B_Exports_1768.csv,IIHS-122B,2,5,26608,,,,Pascale Gouttenegre,,,,,,,,,,,
Objet Général,1768,,,Isles,Exports,Acons démontés,,,3200,0,,,,sources/Objet Général/IIHS-122B_Exports_1768.csv,IIHS-122B,2,6,3200,,,,Pascale Gouttenegre,,,,,,,,,,,
Objet Général,1768,,,Allemagne,Exports,Agneaux,,,1608,0,,,,sources/Objet Général/IIHS-122B_Exports_1768.csv,IIHS-122B,2,7,3164,,,,Pascale Gouttenegre,,,,,,,,,,,
Objet Général,1768,,,Savoye,Exports,Agneaux,,,1556,0,,,,sources/Objet Général/IIHS-122B_Exports_1768.csv,IIHS-122B,2,8,3164,,,,Pascale Gouttenegre,,,,,,,,,,,
Objet Général,1768,,,Allemagne,Exports,Ajustements,,,8617,0,,,,sources/Objet Général/IIHS-122B_Exports_1768.csv,IIHS-122B,2,9,8617,,,,Pascale Gouttenegre,,,,,,,,,,,
Objet Général,1768,,,Allemagne,Exports,Alun,,,2050,0,,,,sources/Objet Général/IIHS-122B_Exports_1768.csv,IIHS-122B,2,10,60075,,,,Pascale Gouttenegre,,,,,,,,,,,
Objet Général,1768,,,Espagne,Exports,Alun,,,3299,0,,,,sources/Objet Général/IIHS-122B_Exports_1768.csv,IIHS-122B,2,11,60075,,,,Pascale Gouttenegre,,,,,,,,,,,
Objet Général,1768,,,Genève,Exports,Alun,,,8406,0,,,,sources/Objet Général/IIHS-122B_Exports_1768.csv,IIHS-122B,2,12,60075,,,,Pascale Gouttenegre,,,,,,,,,,,
Objet Général,1768,,,Hollande,Exports,Alun,,,17096,0,,,,sources/Objet Général/IIHS-122B_Exports_1768.csv,IIHS-122B,2,13,60075,,,,Pascale Gouttenegre,,,,,,,,,,,
Objet Général,1768,,,Levant,Exports,Alun,,,13207,0,,,,sources/Objet Général/IIHS-122B_Exports_1768.csv,IIHS-122B,2,14,60075,,,,Pascale Gouttenegre,,,,,,,,,,,
Objet Général,1768,,,Naples,Exports,Alun,,,1189,0,,,,sources/Objet Général/IIHS-122B_Exports_1768.csv,IIHS-122B,2,15,60075,,,,Pascale Gouttenegre,,,,,,,,,,,
