numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,sheet,marchandises,pays,value,calcul,calcul,quantity_unit,Leurvaleursubtotal_1,remarks,Double compte
1,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 17),Colonies/1787 – Nantes – Exports colonies.csv,Colonies,1787,Exports,Nantes,10,Acons démontés,St Domingue,5700,,7,en nombres,7100,,0
2,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 – Nantes – Exports colonies.csv,Colonies,1787,Exports,Nantes,10,Acons démontés,La Guadeloupe,1400,,2,en nombres,7100,,0
3,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 – Nantes – Exports colonies.csv,Colonies,1787,Exports,Nantes,10,Ardoises,St Domingue,44300,,1772,en nombres,47300,,0
4,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 – Nantes – Exports colonies.csv,Colonies,1787,Exports,Nantes,10,Ardoises,La Guadeloupe,3000,,120,en nombres,47300,,0
5,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 – Nantes – Exports colonies.csv,Colonies,1787,Exports,Nantes,10,Argenterie et bijouterie,St Domingue,48820,,,,56362,,0
6,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 – Nantes – Exports colonies.csv,Colonies,1787,Exports,Nantes,10,Argenterie et bijouterie,La Martinique,1716,,,,56362,,0
7,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 – Nantes – Exports colonies.csv,Colonies,1787,Exports,Nantes,10,Argenterie et bijouterie,La Guadeloupe,5826,,,,56362,,0
8,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 – Nantes – Exports colonies.csv,Colonies,1787,Exports,Nantes,10,Argenterie et bijouterie,Sénégal et Guinée,2685,,,en nombres,,,0
9,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 – Nantes – Exports colonies.csv,Colonies,1787,Exports,Nantes,10,Armes ; fusils,St Domingue,6100,,184,en nombres,7950,,0
10,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 – Nantes – Exports colonies.csv,Colonies,1787,Exports,Nantes,10,Armes ; fusils,La Martinique,1530,,51,en nombres,7950,,0
11,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 – Nantes – Exports colonies.csv,Colonies,1787,Exports,Nantes,10,Armes ; fusils,La Guadeloupe,320,,10,en nombres,7950,,0
12,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 – Nantes – Exports colonies.csv,Colonies,1787,Exports,Nantes,10,Armes ; fusils,Sénégal et Guinée,149452,,18864,en nombres,,,0
13,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 – Nantes – Exports colonies.csv,Colonies,1787,Exports,Nantes,10,Armes ; pistolets,St Domingue,360,,18,en nombres,,,0
14,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,Colonies/1787 – Nantes – Exports colonies.csv,Colonies,1787,Exports,Nantes,10,Armes ; pistolets,Sénégal et Guinée,3460,,173,en nombres,,,0
