numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantity_unit,remarks,Leurvaleursubtotal_1,Double compte,calcul
1,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Armes à feu,Sénégal et Guinée,13716,,,,0,
2,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Ardoises,St Domingue,20,en nombre,,,0,1000
3,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Bijouterie,St Domingue,2000,,,,0,
4,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Bonneterie de laine,Sénégal et Guinée,2300,,,,0,
5,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Bois feuillard,St Domingue,2337,cercles,Le pdf donne aussi la quantité en paquets,,0,23750
6,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Bois de construction,Sénégal et Guinée,6250,,,,0,
7,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Bray et goudron,St Domingue,1050,livres,,,0,10500
8,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Bray et goudron,Sénégal et Guinée,6438,livres,,,0,57690
9,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Cauris,Sénégal et Guinée,42000,livres,,,0,36000
10,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Chapeaux divers,St Domingue,13576,en nombre,,,0,3782
11,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Chapeaux divers,Sénégal et Guinée,4110,en nombre,,,0,1288
12,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Charbon de terre,Sénégal et Guinée,2068,livres,,,0,169500
13,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Comestibles divers,St Domingue,5825,,,,0,
14,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Comestibles divers,Sénégal et Guinée,5181,,,,0,
15,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 24),Colonies/1787 - Petits Ports - Exports colonies.csv,Colonies,1787,Exports,"Brest, Port Louis, Rochefort, Morlaix, Saint-Servan, Redon, Honfleur, Cherbourg, Dieppe et Toulon",34,Comestibles beurre,St Domingue,17708,livres,,,0,22135
